Отрасль экономики;ИНН;Год;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;reg;kredit;teh;market;staff;psich;ability;turn;finn;Z25;Z35;Bankrupt
Сельское хозяйство;2331002203;2014;0.0;1.0;0.5;0.0;0.5;0.5;1.0;0.25;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.25;0.5;0.5;0.5;0.0;0.5;0.25;0.5;0.5;0.0;0.25;0.0;0.25;1
Сельское хозяйство;2340003210;2014;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2344003589;2014;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.0;1.0;0.5;0.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.5;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.5;0.25;0.25;0.5;0.25;0.5;0.0;0.5;0.5;0.25;0.25;0
Сельское хозяйство;2312132302;2014;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.25;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2312132302;2017;0.0;0.5;1.0;0.25;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.25;0.0;0.5;0.25;0.5;0.0;0.25;0.0;0.0;0.25;1
Сельское хозяйство;2330003003;2014;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2330003003;2015;0.0;1.0;1.0;0.0;0.5;0.75;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2330003003;2016;0.0;1.0;1.0;0.75;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.25;0.0;0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2303002314;2017;0.0;1.0;0.5;0.25;0.5;0.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;1.0;0.5;0.5;0.0;0.25;0.0;0.5;0.5;0.0;0.25;0.0;0.25;1
Сельское хозяйство;2354002930;2014;0.0;1.0;0.5;0.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5;0.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.5;0.25;0.5;0.0;0.0;0.5;1.0;1.0;0.0;0.0;0.5;1.0;0.25;0.5;0.25;0.5;0.5;0.0;0.5;0.25;0.25;0
